"","gene_ID","CSDE1_vs_IgG_log2FoldChange","CSDE1_vs_IgG_pvalue","CSDE1_vs_IgG_padj","CSDE1_vs_Capture_log2FoldChange","CSDE1_vs_Capture_pvalue","CSDE1_vs_Capture_padj","GENE_NAME"
"2569","ENSMUSG00000021054.6",1.4883934512022,2.66508940453491e-13,4.37389605764853e-12,1.13119601924903,8.00109921840813e-09,7.68340235054258e-08,"Sgpp1"
"2570","ENSMUSG00000021055.14",-2.47463389031508,0.000137038813088262,0.000577781858678477,-1.46676480399744,0.0219049477688356,0.0515549496082031,"Esr2"
"2571","ENSMUSG00000021057.15",0.195448701354353,0.535842122788177,0.646849584811857,-0.13705109609271,0.658744961785253,0.750348741111424,"Akap5"
"2572","ENSMUSG00000021061.15",1.74063942743867,3.87453464093e-14,7.14567092932884e-13,2.6592686125603,2.78231749926871e-31,2.91459682266252e-29,"Sptb"
"2573","ENSMUSG00000021062.15",-0.267583638659472,0.143766110029781,0.234706592667731,0.756104479151225,3.19394582592938e-05,0.000160590825235703,"Rab15"
"2574","ENSMUSG00000021065.16",-0.137308793102234,0.345761742617428,0.464121275950992,-0.307627672422261,0.0290070699327049,0.0652862139410146,"Fut8"
"2575","ENSMUSG00000021066.9",0.311683279008273,0.111737042663178,0.192244342196282,0.240477001165479,0.211336638150078,0.323540342072861,"Atl1"
"2576","ENSMUSG00000021067.8",-0.563738113031848,0.0300840749890558,0.0651199979571815,-0.854024427977353,0.000697403272378875,0.00258592168067345,"Sav1"
"2577","ENSMUSG00000021068.16",-0.822874785699364,0.00118016331792819,0.00395878388733022,0.0834813301773492,0.741306619593701,0.814189260702878,"Nin"
"2578","ENSMUSG00000021069.17",-1.15224025403382,0.206259418348248,0.311692989626583,1.34503834219639,0.133528646441713,0.224779352302064,"Pygl"
"2579","ENSMUSG00000021070.6",1.44738367703267,0.0774841901461406,0.14268610484772,0.880434185508664,0.223294768111262,0.337798290890878,"Bdkrb2"
"2580","ENSMUSG00000021071.16",0.80809695047356,4.82300063708695e-06,2.75008546435701e-05,0.291965404391609,0.0930806375454158,0.169281175345492,"Trim9"
"2581","ENSMUSG00000021072.12",0.488459569409708,0.0241970077132933,0.0542737728374028,-0.825125375496996,8.48165614628543e-05,0.000391159045216867,"Tmx1"
"2582","ENSMUSG00000021076.6",0.477147177836488,0.160312739918284,0.255863934196585,0.163830381833739,0.627698646995374,0.725488405316133,"Actr10"
