"","csde_values.average_csde","input_values.average_input"
"COMMD9",307.586521289592,231.677893396933
"COMP",5.29195462189207,8.23353637251509
"COMT",929.264029511473,881.971211400006
"COMTD1",225.877495933145,161.044480540883
"COPA",3415.57230349836,1673.01361345013
"COPB1",1220.43715553923,872.743586102902
"COPB2",1006.74730228162,487.903993340478
"COPE",891.197723374587,391.854443729051
"COPG1",3476.88246202882,1783.82866310674
"COPG2",1460.85105561713,823.892041104707
"Copg2os2",1559.71526665614,507.715783273081
"COPRS",161.184504314574,166.23243438886
"Cops2",245.338398219734,713.41734894301
"COPS3",477.724828560966,540.688919208264
"COPS4",257.873202844418,513.711323115997
"COPS5",514.319403063438,522.950617541083
"COPS6",629.456276188915,544.696201262617
"COPS7A",685.003531331369,351.242211106006
"COPS7B",514.174514671222,438.428149287192
"COPS8",948.487971868466,567.923850686612
"COPS9",1534.86957609163,1168.70632961571
"COPZ1",834.598921852949,726.954999952608
"COPZ2",23.9659491927471,20.0928074994139
"COQ10A",361.80122454393,322.200203698154
"COQ10B",60.3663966521656,122.942442677004
"COQ2",477.954210389083,348.479048071357
"COQ3",89.9081164658869,97.1754119113422
"COQ4",143.824690507579,166.046979099238
"COQ5",434.403595894381,271.530828722605
"COQ6",191.241346792374,220.269691055598
"COQ7",86.5877808521742,97.5160027768568
"COQ8A",95.4226309974844,48.815405805112
"COQ8B",468.946938303801,482.502080216545
"COQ9",265.591471985493,294.922492529011
"CORIN",1.49704375348034,3.88527186633979
"CORO1A",692.886175323686,466.134094239608
"CORO1B",1299.52139460889,566.498017509047
"CORO1C",4609.18528609102,1599.19861659957
"CORO2A",464.570330776438,282.644552490444
"CORO2B",1713.12484085619,839.08711835439
"CORO6",20.1420753380427,37.3971762801811
"CORO7/CORO7-PAM16",815.546285717456,430.357088650411
"CORT",18.0981830549285,25.9997050918332
"COTL1",1976.1697390112,1143.00504413474
"COX10",245.196030621704,146.138608530322
"COX11",207.156240635448,256.571969144047
"COX14",213.572943922299,270.856052740963
"COX15",524.186334657956,377.141696018525
"COX16",201.966519384002,337.462674132889
"COX17",49.8730694726658,89.9079226036392
"COX18",138.322499702318,128.334198591485
"COX19",365.745894464079,327.098654511697
"COX20",215.717537144069,260.420733396076
"COX4I1",3240.54892913261,2547.392842792
"COX4I2",44.9645434339766,25.5938874379254
"COX5A",1142.20945002701,623.311771295362
"Cox5b",305.88444075831,648.241896377598
"COX6A1",1869.7567571628,1288.46423796083
"COX6A2",0.537272600493481,1.45523859294094
"COX6B1",1033.06856180158,1362.81620328161
"COX6B2",12.4432311100146,20.137121776524
"Cox6c",230.407919358938,465.70798861304
"COX7A1",9.11413483897066,15.0652293422081
"COX7A2",262.361970898155,995.687121223224
